video_id	title	playlists	file	word_count
1jHMmXKc924	Analisi della Legge di Bilancio: quali fondi per la Sanità?	Sanita	Analisi della Legge di Bilancio： quali fondi per la Sanità？ [1jHMmXKc924].txt	5004
PTjvhzcGMD0	Come sarà la Sanità del Futuro? con Skeptical Health	Sanita	Come sarà la Sanità del Futuro？ con Skeptical Health [PTjvhzcGMD0].txt	5180
LysNxK2RY5U	Come sta l'università italiana? - con Ranieri Bizzarri	Universita	Come sta l'università italiana？ - con Ranieri Bizzarri [LysNxK2RY5U].txt	1862
zQ88HKcUoSo	Conosciamo i MEDICI di medicina GENERALE	Sanita	Conosciamo i MEDICI di medicina GENERALE [zQ88HKcUoSo].txt	6436
wFpvG7vfzQg	Digitalizziamo o No la Sanità?	Sanita	Digitalizziamo o No la Sanità？ [wFpvG7vfzQg].txt	4334
XBIrrKcBvhY	Esplorando il Sistema Sanitario Italiano: Traiettorie e sfide di questo viaggio	Sanita	Esplorando il Sistema Sanitario Italiano： Traiettorie e sfide di questo viaggio [XBIrrKcBvhY].txt	5326
jbgLTfUDIeQ	I problemi della GIUSTIZIA italiana: con Nicolò Sesta	Giustizia	I problemi della GIUSTIZIA italiana： con Nicolò Sesta [jbgLTfUDIeQ].txt	9113
YeYSarq-VvA	La crisi del personale sanitario	Sanita	La crisi del personale sanitario [YeYSarq-VvA].txt	5914
VgYqswx9CBE	Le criticità del SSN: il personale sanitario - POLICY	Sanita	Le criticità del SSN： il personale sanitario - POLICY [VgYqswx9CBE].txt	4711
yU3ujuiE0tI	Le radici del presente: salari, crisi universitaria e il dilemma delle privatizzazioni.	Universita	Le radici del presente： salari, crisi universitaria e il dilemma delle privatizzazioni. [yU3ujuiE0tI].txt	8551
ItwhAbsRt-U	Liste d'attesa: Schillaci mira all'intramoenia. Basta con il populismo e i nemici immaginari!!	Sanita	Liste d'attesa： Schillaci mira all'intramoenia. Basta con il populismo e i nemici immaginari!! [ItwhAbsRt-U].txt	4929
2ASG8eJ6AZc	Lo stato della sanità italiana analizzato dal Prof. Merigliano.	Sanita	Lo stato della sanità italiana analizzato dal Prof. Merigliano. [2ASG8eJ6AZc].txt	3348
h08-LN50rk4	Non basta curare: perché il futuro della politica è la prevenzione	Sanita	Non basta curare： perché il futuro della politica è la prevenzione [h08-LN50rk4].txt	2457
nQihdcc1UnI	Parliamo di Sanità	Sanita	Parliamo di Sanità [nQihdcc1UnI].txt	4128
8tb7kAaWuRA	Pisa - IL CORAGGIO DELL'OVVIO: Università e ricerca, uno slancio per il futuro!	Universita	Pisa - IL CORAGGIO DELL'OVVIO： Università e ricerca, uno slancio per il futuro! [8tb7kAaWuRA].txt	14134
Z0g3jO-xPAs	Presentazione Tesi - Cultura, Sport, Turismo	PresentazioneTesi	Presentazione Tesi - Cultura, Sport, Turismo [Z0g3jO-xPAs].txt	8108
1ewWgRefDZA	Presentazione Tesi - Diritti civili, Pari opportunità, Inclusione	PresentazioneTesi	Presentazione Tesi - Diritti civili, Pari opportunità, Inclusione [1ewWgRefDZA].txt	7217
4CeywmWehiA	Presentazione Tesi - Esteri e Relazioni Internazionali	PresentazioneTesi	Presentazione Tesi - Esteri e Relazioni Internazionali [4CeywmWehiA].txt	6588
ZngxcBmM4pA	Presentazione Tesi - Giustizia	Giustizia	Presentazione Tesi - Giustizia [ZngxcBmM4pA].txt	6559
LgtMHPsM6Zk	Presentazione Tesi - Governance, Riforme istituzionali ed elettorali	PresentazioneTesi	Presentazione Tesi - Governance, Riforme istituzionali ed elettorali [LgtMHPsM6Zk].txt	4747
w9PupB72_Vg	Presentazione Tesi - Innovazione e Crescita	PresentazioneTesi	Presentazione Tesi - Innovazione e Crescita [w9PupB72_Vg].txt	7329
MMHssSHUlKM	Presentazione Tesi - Interni	PresentazioneTesi	Presentazione Tesi - Interni [MMHssSHUlKM].txt	7223
UK48hXhFQ6c	Presentazione Tesi - Istruzione	PresentazioneTesi	Presentazione Tesi - Istruzione [UK48hXhFQ6c].txt	7586
c3tMqjcoJvQ	Presentazione Tesi - Lavoro e Politiche Sociali	PresentazioneTesi	Presentazione Tesi - Lavoro e Politiche Sociali [c3tMqjcoJvQ].txt	6787
7_ZEGOGLenM	Presentazione Tesi - Salute e Servizi Sanitari	Sanita, PresentazioneTesi	Presentazione Tesi - Salute e Servizi Sanitari [7_ZEGOGLenM].txt	6777
